Date,Open,High,Low,Close,Adj Close,Volume
2021-06-18,384.75,384.9100036621094,380.29998779296875,380.8800048828125,378.3633728027344,3415700
2021-06-21,382.25,387.6499938964844,380.55999755859375,386.79998779296875,384.2442321777344,1631600
2021-06-22,387.0199890136719,392.5,386.55999755859375,392.17999267578125,389.58868408203125,1934800
2021-06-23,393.0,393.44000244140625,390.5899963378906,391.9700012207031,389.38006591796875,1538000
2021-06-24,393.4200134277344,395.5,391.79998779296875,392.07000732421875,389.4794006347656,1487300
2021-06-25,392.9700012207031,394.54998779296875,391.25,394.510009765625,391.9032897949219,2056100
2021-06-28,395.0,397.4200134277344,393.1300048828125,396.5400085449219,393.91986083984375,1645500
2021-06-29,396.29998779296875,399.44000244140625,395.4700012207031,398.7900085449219,396.155029296875,1523600
2021-06-30,397.9700012207031,400.4700012207031,395.0,395.6700134277344,393.0556335449219,2031700
2021-07-01,396.29998779296875,397.69000244140625,393.8800048828125,394.5299987792969,391.92315673828125,1523400
2021-07-02,396.2099914550781,400.7699890136719,396.1099853515625,398.94000244140625,396.3040466308594,1676600
2021-07-06,399.8399963378906,401.3999938964844,397.1099853515625,398.8599853515625,396.22454833984375,2113100
2021-07-07,399.20001220703125,406.1199951171875,399.20001220703125,404.67999267578125,402.006103515625,2308600
2021-07-08,403.5,408.6400146484375,403.1600036621094,407.1499938964844,404.45977783203125,2235500
2021-07-09,408.54998779296875,414.0,407.5899963378906,412.3699951171875,409.645263671875,2304200
2021-07-12,414.0400085449219,414.3500061035156,404.5299987792969,407.8800048828125,405.1849670410156,2491300
2021-07-13,404.70001220703125,409.2900085449219,404.70001220703125,407.05999755859375,404.3703308105469,1540300
2021-07-14,408.5799865722656,410.4700012207031,407.260009765625,409.95001220703125,407.24127197265625,1265800
2021-07-15,410.4599914550781,412.20001220703125,407.8800048828125,411.82000732421875,409.0989074707031,1894100
2021-07-16,412.1199951171875,413.4200134277344,409.7699890136719,410.3699951171875,407.6584777832031,1413900
2021-07-19,410.05999755859375,415.32000732421875,410.04998779296875,414.1499938964844,411.4135437011719,2293100
2021-07-20,414.0,418.07000732421875,412.8500061035156,416.239990234375,413.4897155761719,2045400
2021-07-21,417.1099853515625,417.1099853515625,412.2200012207031,415.010009765625,412.267822265625,1480000
2021-07-22,416.0,418.6000061035156,413.54998779296875,417.5400085449219,414.7810974121094,1339200
2021-07-23,418.2900085449219,423.989990234375,417.04998779296875,423.42999267578125,420.6322021484375,1344500
2021-07-26,423.3999938964844,424.5,420.3500061035156,423.2300109863281,420.43353271484375,1220000
2021-07-27,424.0,424.55999755859375,421.6000061035156,424.3399963378906,421.5361633300781,1666500
2021-07-28,423.2699890136719,424.8599853515625,420.5400085449219,422.2200012207031,419.4302062988281,1362700
2021-07-29,421.67999267578125,425.8500061035156,420.3599853515625,425.2799987792969,423.2619323730469,1434200
2021-07-30,425.9800109863281,431.5,425.94000244140625,429.7200012207031,427.68084716796875,2283900
